word,count,percentage,pos
example,7,0.0139,noun
male,7,0.0139,adj
christian,7,0.0139,adj
jesus,7,0.0139,noun
joseph,7,0.0139,verb
hip,7,0.0139,noun
significance,7,0.0139,noun
intimacy,7,0.0139,noun
streamlined,7,0.0139,verb
indicates,7,0.0139,verb
dominant,7,0.0139,adj
thoughtful,7,0.0139,adj
revealing,7,0.0139,verb
neutral,7,0.0139,adj
jacket,7,0.0139,noun
beneath,7,0.0139,noun
ruffled,7,0.0139,verb
dream,7,0.0139,noun
neck,7,0.0139,other
stage,7,0.0139,noun
motif,7,0.0139,adj
drawn,7,0.0139,noun
characters,7,0.0139,noun
ruffles,7,0.0139,noun
maintaining,7,0.0139,verb
identified,7,0.0139,verb
textured,7,0.0139,verb
dimension,7,0.0139,noun
dragon,7,0.0139,noun
sunlight,7,0.0139,verb
sorolla,7,0.0139,noun
spanish,7,0.0139,adj
people,7,0.0139,noun
qualities,7,0.0139,noun
activity,7,0.0139,noun
seem,7,0.0139,verb
interaction,7,0.0139,adj
patterned,7,0.0139,verb
village,7,0.0139,noun
depict,7,0.0139,noun
seemingly,7,0.0139,adv
surreal,7,0.0139,adj
hue,7,0.0139,noun
edgar,7,0.0139,noun
dancers,7,0.0139,noun
atmospheric,7,0.0139,adj
motifs,7,0.0139,adj
print,7,0.0139,noun
bergman,7,0.0139,noun
japan,7,0.0139,adj
romanticism,7,0.0139,verb
nouveau,6,0.0119,other
calmness,6,0.0119,noun
curves,6,0.0119,noun
pinks,6,0.0119,noun
horizon,6,0.0119,noun
composed,6,0.0119,adj
precisionism,6,0.0119,noun
later,6,0.0119,adv
lifelike,6,0.0119,adj
organic,6,0.0119,noun
parts,6,0.0119,noun
defined,6,0.0119,verb
sharp,6,0.0119,adj
series,6,0.0119,noun
others,6,0.0119,noun
plain,6,0.0119,noun
roof,6,0.0119,noun
chest,6,0.0119,adj
symbolizing,6,0.0119,verb
divine,6,0.0119,noun
new,6,0.0119,adj
broad,6,0.0119,adj
fitting,6,0.0119,verb
symbolize,6,0.0119,noun
lively,6,0.0119,adv
texts,6,0.0119,adj
robe,6,0.0119,noun
matches,6,0.0119,noun
scheme,6,0.0119,noun
sharply,6,0.0119,adv
comfort,6,0.0119,noun
ancient,6,0.0119,adj
quarter,6,0.0119,noun
drapes,6,0.0119,verb
makeup,6,0.0119,noun
trim,6,0.0119,adj
accentuates,6,0.0119,noun
saint,6,0.0119,noun
artworks,6,0.0119,noun
fashionable,6,0.0119,adj
especially,6,0.0119,adv
complete,6,0.0119,adj
extended,6,0.0119,adj
hinting,6,0.0119,verb
beautifully,6,0.0119,adv
type,6,0.0119,noun
panels,6,0.0119,noun
panel,6,0.0119,noun
christ,6,0.0119,noun
angel,6,0.0119,adv
framed,6,0.0119,adj
round,6,0.0119,adv
purity,6,0.0119,noun
careful,6,0.0119,adj
explore,6,0.0119,adv
statue,6,0.0119,adj
leg,6,0.0119,noun
grandeur,6,0.0119,noun
accurately,6,0.0119,adv
precise,6,0.0119,noun
pearls,6,0.0119,noun
joaquín,6,0.0119,adj
enjoying,6,0.0119,verb
girls,6,0.0119,noun
sand,6,0.0119,noun
leisurely,6,0.0119,adv
ocean,6,0.0119,adj
stillness,6,0.0119,noun
obscured,6,0.0119,verb
location,6,0.0119,noun
clown,6,0.0119,verb
harlequin,6,0.0119,noun
costume,6,0.0119,adj
mirror,6,0.0119,noun
content,6,0.0119,noun
rest,6,0.0119,noun
accents,6,0.0119,noun
road,6,0.0119,noun
classic,6,0.0119,adj
walls,6,0.0119,noun
pastoral,6,0.0119,adj
pictures,6,0.0119,noun
story,6,0.0119,noun
rhythm,6,0.0119,noun
bridge,6,0.0119,noun
resembles,6,0.0119,noun
neoclassicism,6,0.0119,noun
seascape,6,0.0119,verb
rests,6,0.0119,noun
tropical,6,0.0119,adj
creation,6,0.0119,noun
marine,6,0.0119,noun
yourself,6,0.0119,other
diego,6,0.0119,noun
palace,6,0.0119,noun
regal,5,0.0099,noun
making,5,0.0099,verb
aspect,5,0.0099,adj
name,5,0.0099,noun
identity,5,0.0099,noun
distract,5,0.0099,adj
fascination,5,0.0099,noun
structures,5,0.0099,noun
belongs,5,0.0099,noun
delicate,5,0.0099,verb
precision,5,0.0099,noun
pieces,5,0.0099,noun
flying,5,0.0099,verb
detract,5,0.0099,adj
birds,5,0.0099,noun
themselves,5,0.0099,other
lake,5,0.0099,adj
centuries,5,0.0099,noun
fishing,5,0.0099,verb
mannerist,5,0.0099,adj
extends,5,0.0099,verb
highlight,5,0.0099,verb
captivating,5,0.0099,verb
roman,5,0.0099,verb
luxurious,5,0.0099,adj
include,5,0.0099,verb
armor,5,0.0099,noun
highly,5,0.0099,adv
solemnity,5,0.0099,noun
lying,5,0.0099,verb
ambiance,5,0.0099,noun
confirming,5,0.0099,verb
lends,5,0.0099,verb
audience,5,0.0099,noun
forward,5,0.0099,adv
middle,5,0.0099,adj
summer,5,0.0099,noun
compared,5,0.0099,verb
shade,5,0.0099,verb
authorship,5,0.0099,adj
unmistakably,5,0.0099,adv
i,5,0.0099,noun
ease,5,0.0099,noun
sails,5,0.0099,adj
closely,5,0.0099,adv
intense,5,0.0099,adj
melancholic,5,0.0099,adj
car,5,0.0099,noun
poised,5,0.0099,verb
aesthetics,5,0.0099,noun
grays,5,0.0099,noun
planes,5,0.0099,noun
take,5,0.0099,verb
engaging,5,0.0099,verb
detailing,5,0.0099,verb
softness,5,0.0099,adj
past,5,0.0099,adj
indoors,5,0.0099,noun
glimpse,5,0.0099,adj
divided,5,0.0099,verb
sections,5,0.0099,noun
single,5,0.0099,adj
helps,5,0.0099,noun
serenity,5,0.0099,noun
dominic,5,0.0099,adj
order,5,0.0099,noun
symbol,5,0.0099,noun
symbolic,5,0.0099,adj
curtain,5,0.0099,noun
serves,5,0.0099,noun
knight,5,0.0099,noun
though,5,0.0099,other
joy,5,0.0099,verb
carefully,5,0.0099,adv
embroidery,5,0.0099,noun
cultural,5,0.0099,adj
outdoors,5,0.0099,noun
expanse,5,0.0099,adj
dresses,5,0.0099,noun
walking,5,0.0099,verb
afternoon,5,0.0099,noun
cooler,5,0.0099,noun
event,5,0.0099,noun
houses,5,0.0099,noun
vegetation,5,0.0099,noun
shirt,5,0.0099,noun
define,5,0.0099,noun
vegetables,5,0.0099,noun
wood,5,0.0099,noun
situated,5,0.0099,verb
cubism,5,0.0099,noun
sign,5,0.0099,noun
script,5,0.0099,noun
chairs,5,0.0099,verb
